Price        Adj Close       Close        High         Low        Open     Volume
Date                                                                             
2024-08-14  201.380005  201.380005  208.440002  198.750000  207.389999   70250000
2024-08-15  214.139999  214.139999  215.880005  204.820007  205.020004   89848500
2024-08-16  216.119995  216.119995  219.800003  210.800003  211.149994   88765100
2024-08-19  222.720001  222.720001  222.979996  214.089996  217.070007   76435200
2024-08-20  221.100006  221.100006  228.220001  219.559998  224.880005   74001200
2024-08-21  223.270004  223.270004  224.660004  218.860001  222.669998   70146000
2024-08-22  210.660004  210.660004  224.800003  210.320007  223.820007   79514500
2024-08-23  220.320007  220.320007  221.479996  214.210007  214.460007   81525200
2024-08-26  213.210007  213.210007  219.089996  211.009995  218.750000   59301200
2024-08-27  209.210007  209.210007  215.660004  206.940002  213.250000   62821400
2024-08-28  205.750000  205.750000  211.839996  202.589996  209.720001   64116400
2024-08-29  206.279999  206.279999  214.889999  205.970001  209.800003   62308800
2024-08-30  214.110001  214.110001  214.570007  207.029999  208.630005   63370600
2024-09-03  210.600006  210.600006  219.899994  209.639999  215.259995   76714200
2024-09-04  219.410004  219.410004  222.220001  210.570007  210.589996   80651800
2024-09-05  230.169998  230.169998  235.000000  222.250000  223.490005  119355000
2024-09-06  210.729996  210.729996  233.600006  210.509995  232.600006  112177000
2024-09-09  216.270004  216.270004  219.869995  213.669998  216.199997   67443500
2024-09-10  226.169998  226.169998  226.399994  218.639999  220.070007   78891100
2024-09-11  228.130005  228.130005  228.470001  216.800003  224.550003   83548600
2024-09-12  229.809998  229.809998  231.449997  223.830002  224.660004   72020000
2024-09-13  230.289993  230.289993  232.669998  226.320007  228.000000   59515100
2024-09-16  226.779999  226.779999  229.960007  223.529999  229.300003   54323000
2024-09-17  227.869995  227.869995  234.570007  226.550003  229.449997   66761600
2024-09-18  227.199997  227.199997  235.679993  226.880005  230.089996   78010200
2024-09-19  243.919998  243.919998  244.240005  232.130005  234.000000  102694600
2024-09-20  238.250000  238.250000  243.990005  235.919998  241.520004   99879100
2024-09-23  250.000000  250.000000  250.000000  241.919998  242.610001   86927200
2024-09-24  254.270004  254.270004  257.190002  249.050003  254.080002   88491000
2024-09-25  257.019989  257.019989  257.049988  252.279999  252.539993   65034300
2024-09-26  254.220001  254.220001  261.750000  251.529999  260.600006   67142200
2024-09-27  260.459991  260.459991  260.700012  254.119995  257.380005   70988100
2024-09-30  261.630005  261.630005  264.859985  255.770004  259.040009   80705700
2024-10-01  258.019989  258.019989  263.980011  248.529999  262.670013   87397600
2024-10-02  249.020004  249.020004  251.160004  241.500000  247.550003   93983900
2024-10-03  240.660004  240.660004  249.789993  237.809998  244.479996   80729200
2024-10-04  250.080002  250.080002  250.960007  244.580002  246.690002   86573200
2024-10-07  240.830002  240.830002  249.830002  240.699997  249.000000   68113300
2024-10-08  244.500000  244.500000  246.210007  240.559998  243.559998   56303200
2024-10-09  241.050003  241.050003  247.429993  239.509995  243.820007   66289500
2024-10-10  238.770004  238.770004  242.789993  232.339996  241.809998   83087100
2024-10-11  217.800003  217.800003  223.339996  214.380005  220.130005  142628900
2024-10-14  219.160004  219.160004  221.910004  213.740005  220.130005   86291900
2024-10-15  219.570007  219.570007  224.259995  217.119995  220.009995   62988800
2024-10-16  221.330002  221.330002  222.820007  218.929993  221.399994   49632800
2024-10-17  220.889999  220.889999  222.080002  217.899994  221.589996   50791800
2024-10-18  220.699997  220.699997  222.279999  219.229996  220.710007   49611900
2024-10-21  218.850006  218.850006  220.479996  215.729996  218.899994   47329000
2024-10-22  217.970001  217.970001  218.220001  215.259995  217.309998   43268700
2024-10-23  213.649994  213.649994  218.720001  212.110001  217.130005   80938900
2024-10-24  260.480011  260.480011  262.119995  242.649994  244.679993  204491900
2024-10-25  269.190002  269.190002  269.489990  255.320007  256.010010  161611900
2024-10-28  262.510010  262.510010  273.540009  262.239990  270.000000  107653600
